TREE_ID;CIVIC_NUMBER;STD_STREET;GENUS_NAME;SPECIES_NAME;CULTIVAR_NAME;COMMON_NAME;ON_STREET_BLOCK;ON_STREET;NEIGHBOURHOOD_NAME;STREET_SIDE_NAME;HEIGHT_RANGE_ID;HEIGHT_RANGE;DIAMETER;DATE_PLANTED;Geom;geo_point_2d
234358;1718;NELSON ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;1000;BIDWELL ST;WEST END;ODD;1;10-20;5.0;2012-11-27;"{""coordinates"": [-123.13726600012495, 49.28826899911198], ""type"": ""Point""}";49.28826899911198, -123.13726600012495
234360;5638;CROWN ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;5600;CROWN ST;DUNBAR-SOUTHLANDS;EVEN;1;10-20;4.0;2012-11-23;"{""coordinates"": [-123.19365999973947, 49.235269998636895], ""type"": ""Point""}";49.235269998636895, -123.19365999973947
234416;3687;W 16TH AV;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;3600;W 16TH AV;WEST POINT GREY;ODD;1;10-20;3.0;2012-11-08;"{""coordinates"": [-123.18572000060699, 49.258079999359204], ""type"": ""Point""}";49.258079999359204, -123.18572000060699
234462;1916;E PENDER ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1900;E PENDER ST;GRANDVIEW-WOODLAND;EVEN;1;10-20;4.0;2014-02-04;"{""coordinates"": [-123.0651839997371, 49.28027199872574], ""type"": ""Point""}";49.28027199872574, -123.0651839997371
234496;2529;E 3RD AV;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;2500;E 3RD AV;HASTINGS-SUNRISE;ODD;1;10-20;3.0;2012-11-19;"{""coordinates"": [-123.05395099954093, 49.26763099931586], ""type"": ""Point""}";49.26763099931586, -123.05395099954093
234530;2738;E 3RD AV;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;2700;E 3RD AV;HASTINGS-SUNRISE;EVEN;1;10-20;3.0;2012-11-19;"{""coordinates"": [-123.04850099996449, 49.26755199913106], ""type"": ""Point""}";49.26755199913106, -123.04850099996449
234532;2849;GRAVELEY ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;2800;GRAVELEY ST;HASTINGS-SUNRISE;ODD;1;10-20;5.0;2012-11-22;"{""coordinates"": [-123.04577400030738, 49.270474999469116], ""type"": ""Point""}";49.270474999469116, -123.04577400030738
234632;3026;E 2ND AV;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;3000;E 2ND AV;HASTINGS-SUNRISE;EVEN;1;10-20;4.0;2012-11-16;"{""coordinates"": [-123.04066300028234, 49.26844099904652], ""type"": ""Point""}";49.26844099904652, -123.04066300028234
234637;4629;PICTON ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;3000;KINGS AV;RENFREW-COLLINGWOOD;ODD;1;10-20;3.0;2013-03-05;"{""coordinates"": [-123.04089599986337, 49.242832998908405], ""type"": ""Point""}";49.242832998908405, -123.04089599986337
242859;8575;ADERA ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;8500;ADERA ST;MARPOLE;ODD;1;10-20;3.0;2013-01-15;"{""coordinates"": [-123.14376399945553, 49.208932998763984], ""type"": ""Point""}";49.208932998763984, -123.14376399945553
242916;7886;CAMBIE ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;400;W 63RD AV;MARPOLE;ODD;1;10-20;3.0;2013-01-11;"{""coordinates"": [-123.11634599983206, 49.21324199867907], ""type"": ""Point""}";49.21324199867907, -123.11634599983206
243211;3208;E 29TH AV;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;4500;MANOR ST;RENFREW-COLLINGWOOD;EVEN;2;20-30;8.5;2013-04-15;"{""coordinates"": [-123.03708699959708, 49.24431399888605], ""type"": ""Point""}";49.24431399888605, -123.03708699959708
243262;3084;W 16TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;W 16TH AV;ARBUTUS RIDGE;EVEN;1;10-20;4.75;2013-10-21;"{""coordinates"": [-123.17389000010657, 49.25760999914664], ""type"": ""Point""}";49.25760999914664, -123.17389000010657
243289;2020;HARO ST;PRUNUS;X YEDOENSIS;AKEBONO;AKEBONO FLOWERING CHERRY;900;LAGOON DRIVE;WEST END;EVEN;1;10-20;5.0;2012-11-27;"{""coordinates"": [-123.14071700008364, 49.293066999115894], ""type"": ""Point""}";49.293066999115894, -123.14071700008364
